"vars" "outliers"
"1" "ID" NA
"2" "Age" "x64290"
"3" "NumCycles" "x16551,x16826,x17123,x27519,x27871,x28707,x30726,x40946,x41001,x41595,x54268,x5550,x5561,x5792,x64642,x66446,x66721,x77634,x78008,x78371,x80332,x88955"
"4" "TotalWeeks" "x41001,x5737"
"5" "PercChangeRegimens" ""
"6" "PercChangeTaxane" ""
"7" "PercChangeNonTaxane" "x64389"
"8" "AC50" "x16947,x28311,x65368,x78658"
"9" "EMAX" "x27783,x27871,x28091,x28311"
"10" "mean_Score" "x28311,x78658"
"11" "X1200" "x65181,x65676"
"12" "X900" "x65181,x65676"
"13" "X700" "x65676"
"14" "X600" ""
"15" "X550" "x28311,x78658"
"16" "X500" "x27871,x28311,x78658"
"17" "X450" "x27783,x27871,x28311,x30748,x52508"
"18" "X350" "x27783,x28311"
"19" "X250" "x28135,x28311"
"20" "X100" "x16947,x27849,x28135,x28311,x30726,x30748,x40803"
