"variable","FullResponse","UncorrelatedResponse","AC50","EMAX","MeanScore"
"Race",0.0656820688981972,0.00494904678405989,0.0499910469063968,0.994870904340045,0.0622286175636135
"Age",0.269378878634456,0.312000722474574,0.780567151588343,0.842743788496208,0.768222098877658
"Menopause",0.626238377716776,0.510796478278926,0.528728149244029,0.706825754571479,0.49624751427391
"Smoke",0.034214548388503,0.00500829108386044,0.0896301350435387,0.00779412995030312,0.11334431984479
"Grade",0.342215028086403,0.551487757978859,0.118465730753665,0.488570450082426,0.174900395227738
"ER",0.627581100554824,0.377097873577532,0.375959071430316,0.639282845587899,0.345216530748747
"ERorPR",0.567013475443101,0.462114205169724,0.513986827141724,0.892844108701755,0.514821523906771
"HER2",0.645214598001041,0.971483557225144,0.692402141949788,0.351776335103557,0.854836673602991
"Regimen",0.601430744431664,0.402869590374218,0.236785058810142,0.628291075522698,0.304520799868727
"NumCycles",0.444034171762538,0.770910773356132,0.788968829209647,0.764587682683295,0.7502648399818
"Neutropenia",0.662118340035063,0.768265779084522,0.607559915535292,0.698121729771147,0.68308338224771
"Myalgia",0.770328043132058,0.623053712405419,0.86049071951805,0.153908524560145,0.894988497404004
"Neuropathy",0.466893290998902,0.2966172398334,0.786965364885435,0.952964461217352,0.805999117142703
"DoseInterval",0.279460478701648,0.810897668627116,0.562174546537007,0.332184534028832,0.448790525491366
"TotalWeeks",0.488059170875159,0.453200242803146,0.881884370979833,0.476354582270209,0.947945586705177
"FollowupStatus",0.132350105993986,0.7695808171789,0.31944458643498,0.953049397436802,0.334802340617399
"StagePre",0.119206225852471,0.668726639923515,0.77664741579036,0.769715166712585,0.739736774933577
"StageFinal",0.214280048934871,0.836597909595146,0.54518574004932,0.489028614829303,0.671232370387989
"ResponseTaxane",0.999663639916813,0.973650333709846,0.761846448404189,0.546309261352151,0.648958441585741
"ResponseNonTaxane",0.143588631383715,0.88500638232512,0.858585589298335,0.986397073713339,0.879839208522688
